Protein.Names,Exo1_92.1_Control_rep1,Exo1_92.1_Control_rep2,Exo2_IBUD_rep1,Exo2_IBUD_rep2,Exo3_Control_rep1,Exo3_Control_rep2,Exo4_IBUD_rep1,Exo4_IBUD_rep2,Exo5_Control_rep1,Exo5_Control_rep2,Exo6_IBUD_rep1,Exo6_IBUD_rep2
KV315_HUMAN;KV37_HUMAN;KVD07_HUMAN,,4.04E+03,,,,,1.25E+04,7.65E+03,,,,
LV548_HUMAN,,,3.62E+03,,,1.88E+03,4.82E+03,3.14E+03,1.21E+04,1.41E+04,1.34E+04,1.71E+04
GAL3A_HUMAN;GAL3B_HUMAN,,,2.22E+03,1.98E+03,,,,,1.94E+03,2.42E+03,2.02E+03,2.24E+03
UBA6_HUMAN,1.48E+04,1.59E+04,1.80E+04,1.80E+04,1.39E+04,1.55E+04,1.43E+04,1.69E+04,9.65E+03,1.04E+04,1.08E+04,1.18E+04
ESYT2_HUMAN,1.41E+04,1.18E+04,1.27E+04,1.25E+04,4.26E+03,6.05E+03,5.48E+03,5.68E+03,6.13E+03,6.34E+03,7.91E+03,8.84E+03
SHOT1_HUMAN,9.33E+03,9.55E+03,1.06E+04,1.13E+04,1.28E+04,1.39E+04,1.37E+04,1.33E+04,8.20E+03,8.23E+03,9.32E+03,1.11E+04
S22AN_HUMAN,,,,,2.38E+03,3.10E+03,3.00E+03,3.34E+03,9.80E+02,7.28E+02,1.36E+03,
ARH37_HUMAN,,2.21E+03,1.65E+03,1.49E+03,,,,,1.98E+03,1.89E+03,2.41E+03,2.03E+03
F168B_HUMAN,2.70E+03,,3.64E+03,4.38E+03,2.82E+04,3.58E+04,3.71E+04,4.66E+04,2.19E+04,2.48E+04,2.79E+04,2.61E+04
HACL2_HUMAN,9.75E+03,8.56E+03,1.01E+04,1.08E+04,3.99E+03,4.73E+03,6.19E+03,7.26E+03,5.19E+03,5.10E+03,6.25E+03,7.00E+03
CA226_HUMAN,,,,,3.70E+03,2.96E+03,3.07E+03,3.10E+03,3.66E+03,4.36E+03,4.08E+03,4.83E+03
PKHG3_HUMAN,8.49E+03,6.32E+03,7.54E+03,6.97E+03,3.89E+03,5.73E+03,4.93E+03,6.25E+03,1.12E+04,1.29E+04,1.36E+04,1.54E+04
SPD2B_HUMAN,2.19E+04,1.86E+04,2.40E+04,2.38E+04,5.04E+04,5.26E+04,5.54E+04,7.48E+04,1.34E+04,1.76E+04,1.60E+04,2.02E+04
FA92A_HUMAN,,,1.35E+03,,1.96E+03,2.23E+03,2.30E+03,3.71E+03,2.33E+03,1.95E+03,3.53E+03,4.56E+03
PIPSL_HUMAN,1.09E+04,6.17E+03,1.13E+04,9.61E+03,9.41E+03,1.11E+04,8.36E+03,1.41E+04,1.29E+04,1.56E+04,1.75E+04,2.18E+04
F234B_HUMAN,1.38E+04,1.21E+04,1.39E+04,1.82E+04,3.91E+03,3.10E+03,3.73E+03,2.10E+03,2.04E+03,2.31E+03,3.29E+03,2.78E+03
FUCM_HUMAN,3.01E+02,,,,6.49E+02,1.14E+03,1.19E+03,1.07E+03,,6.35E+02,1.51E+03,
LAMB4_HUMAN,6.35E+03,6.60E+03,7.50E+03,8.10E+03,,,,,5.56E+03,7.58E+03,1.55E+04,1.71E+04
WDR91_HUMAN,1.48E+04,1.52E+04,2.44E+04,2.63E+04,8.60E+03,9.55E+03,1.50E+04,1.91E+04,1.09E+04,1.42E+04,1.23E+04,1.56E+04
EFCB5_HUMAN,3.81E+04,3.37E+04,3.21E+04,3.07E+04,1.16E+04,1.12E+04,1.69E+04,1.73E+04,1.21E+04,2.03E+04,2.74E+04,2.69E+04
VP37C_HUMAN,5.20E+04,3.18E+04,3.89E+04,3.52E+04,5.70E+04,8.33E+04,6.92E+04,9.29E+04,6.17E+04,7.24E+04,6.06E+04,7.18E+04
RGSL_HUMAN,,,,,,2.25E+03,,,,,,
TPC13_HUMAN,,,,,,,,,,1.38E+03,1.41E+03,1.55E+03
CNOT1_HUMAN,1.06E+04,9.58E+03,1.26E+04,1.40E+04,5.16E+03,4.64E+03,5.11E+03,6.29E+03,5.69E+03,6.57E+03,7.03E+03,8.10E+03
